monthly_charge,city,longitude,latitude,zip_code,number_of_referrals,age,tenure_in_months,total_long_distance_charges,total_revenue,avg_monthly_long_distance_charges,total_charges,avg_monthly_gb_download,contract,number_of_dependents,payment_method,engagement_score,num_addon_services,offer,total_extra_data_charges,paperless_billing,total_refunds,multiple_lines,customer_status
84.75,Reseda,-118.540958,34.200175,91335,0,29,19,216.98,1819.55,11,1651.95,41.0,Month-to-Month,0,Bank Withdrawal,4,2,No Offer,0,Yes,49.38,Yes,0
76.65,Downieville,-120.780786,39.578792,95936,0,36,4,96.36,429.96,24,333.6,17.0,Month-to-Month,0,Bank Withdrawal,2,1,No Offer,0,Yes,0.0,No,1
69.95,Lebec,-118.885163,34.845861,93243,10,46,1,11.45,81.4,11,69.95,14.0,Month-to-Month,1,Credit Card,1,0,No Offer,0,Yes,0.0,No,0
83.45,Glendale,-118.267539,34.167926,91202,0,76,38,129.96,3252.13,3,3147.15,15.0,Two Year,0,Bank Withdrawal,3,1,No Offer,0,Yes,24.98,No,0
19.7,La Verne,-117.770299,34.144703,91750,5,38,10,462.3,659.84,46,197.54,0.0,One Year,2,Credit Card,0,0,Offer E,0,Yes,0.0,No,0
100.55,Orland,-122.302169,39.748037,95963,7,28,56,2626.4,8141.35,46,5514.95,48.0,One Year,0,Bank Withdrawal,6,1,No Offer,0,Yes,0.0,Yes,0
68.95,Chula Vista,-117.059459,32.607964,91911,0,37,30,679.2,2717.9,22,2038.7,18.0,One Year,0,Credit Card,5,2,Offer C,0,Yes,0.0,Yes,0
88.7,Sonora,-120.343732,37.982716,95370,1,64,72,2061.36,8562.71,28,6501.35,19.0,Two Year,2,Credit Card,9,4,Offer A,0,No,0.0,Yes,0
20.2,Angelus Oaks,-116.86433,34.1678,92305,0,26,8,42.16,183.11,5,140.95,0.0,One Year,0,Bank Withdrawal,0,0,No Offer,0,Yes,0.0,No,0
104.05,Ramona,-116.833922,33.044541,92065,1,64,53,1503.08,7069.48,28,5566.4,17.0,Two Year,1,Bank Withdrawal,8,4,Offer B,0,Yes,0.0,Yes,0
94.65,Scott Bar,-123.07557,41.737962,96085,1,44,46,465.98,4778.48,10,4312.5,3.0,One Year,0,Bank Withdrawal,5,2,Offer B,0,Yes,0.0,Yes,0
20.7,Cypress,-118.038307,33.818477,90630,0,31,6,46.32,159.07,7,112.75,0.0,Month-to-Month,0,Credit Card,0,0,Offer E,0,No,0.0,No,0
94.2,Independence,-118.189241,36.869584,93526,1,22,8,310.64,1087.94,38,777.3,76.0,Month-to-Month,0,Bank Withdrawal,5,1,Offer E,0,Yes,0.0,No,1
98.25,San Diego,-117.202542,32.957195,92130,1,21,56,1072.96,6731.31,19,5508.35,48.0,One Year,0,Bank Withdrawal,6,1,No Offer,150,Yes,0.0,Yes,1
65.25,Riverside,-117.361788,33.930931,92506,0,29,31,965.34,3079.64,31,1994.3,52.0,Month-to-Month,0,Credit Card,5,3,Offer C,120,No,0.0,Yes,1
59.9,Napa,-122.324944,38.232389,94559,0,76,13,648.7,1437.05,49,788.35,30.0,Month-to-Month,0,Bank Withdrawal,3,1,No Offer,0,Yes,0.0,No,0
110.1,Vallejo,-122.271588,38.161321,94589,6,59,40,460.0,4929.1,11,4469.1,22.0,Month-to-Month,3,Credit Card,8,3,Offer B,0,Yes,0.0,Yes,0
94.05,Murrieta,-117.334165,33.548869,92562,0,71,59,1129.26,6643.16,19,5483.9,13.0,One Year,0,Bank Withdrawal,6,4,No Offer,30,Yes,0.0,Yes,0
103.05,Kelseyville,-122.792243,38.93496,95451,7,41,50,2374.0,7527.5,47,5153.5,27.0,One Year,3,Credit Card,6,2,No Offer,0,No,0.0,No,0
24.4,Carlsbad,-117.258203,33.098018,92009,0,53,2,0.0,36.55,0,36.55,52.0,Month-to-Month,3,Credit Card,1,0,No Offer,0,Yes,0.0,No,1
79.2,Ballico,-120.672724,37.4695,95303,0,56,46,2154.18,5747.98,46,3593.8,2.0,Two Year,0,Mailed Check,7,2,Offer B,0,No,0.0,Yes,0
64.8,Cedar Glen,-117.175654,34.255203,92321,0,45,18,764.1,1930.8,42,1166.7,28.0,Month-to-Month,3,Bank Withdrawal,5,1,Offer D,0,No,0.0,Yes,0
33.45,Fallbrook,-117.299644,33.362575,92028,0,59,35,0.0,1205.85,0,1175.85,12.0,Month-to-Month,0,Credit Card,3,2,Offer C,30,Yes,0.0,No,0
50.6,Buena Park,-117.993368,33.874224,90621,0,47,1,11.86,62.46,11,50.6,13.0,Month-to-Month,2,Credit Card,2,1,No Offer,0,No,0.0,No,1
80.8,Sacramento,-121.449942,38.608405,95815,0,28,4,169.32,501.77,42,332.45,76.0,Month-to-Month,0,Credit Card,4,1,No Offer,0,No,0.0,Yes,1
85.3,Sacramento,-121.395805,38.486938,95828,0,30,5,182.6,606.75,36,424.15,27.0,Month-to-Month,0,Bank Withdrawal,4,2,No Offer,0,Yes,0.0,Yes,1
64.15,Los Angeles,-118.222274,34.001617,90058,7,64,69,2751.72,7045.82,39,4254.1,17.0,Two Year,0,Credit Card,5,3,No Offer,40,Yes,0.0,Yes,0
80.85,Apple Valley,-117.184503,34.424926,92308,1,41,17,282.37,1683.22,16,1400.85,3.0,Month-to-Month,0,Bank Withdrawal,2,0,No Offer,0,No,0.0,No,1
20.2,Topanga,-118.61017,34.115192,90290,0,48,1,43.52,63.72,43,20.2,0.0,Month-to-Month,0,Bank Withdrawal,0,0,No Offer,0,Yes,0.0,No,1
78.85,Pioneer,-120.271114,38.546999,95666,1,71,24,49.2,1821.45,2,1772.25,22.0,Month-to-Month,0,Bank Withdrawal,3,1,No Offer,0,Yes,0.0,Yes,1
84.45,Vallejo,-122.186338,38.105733,94591,0,69,62,1210.24,6169.39,19,4959.15,3.0,One Year,0,Bank Withdrawal,3,0,No Offer,0,No,0.0,Yes,0
45.4,Fallbrook,-117.299644,33.362575,92028,0,49,12,133.44,652.34,11,518.9,14.0,Month-to-Month,0,Bank Withdrawal,1,0,No Offer,0,Yes,0.0,No,1
20.85,Sacramento,-121.46504,38.574856,95816,0,45,23,812.36,1286.26,35,473.9,0.0,Month-to-Month,0,Bank Withdrawal,0,0,No Offer,0,No,0.0,No,0
50.9,Pasadena,-118.166649,34.13946,91105,10,54,45,0.0,2333.85,0,2333.85,18.0,Month-to-Month,2,Bank Withdrawal,5,1,Offer B,0,Yes,0.0,No,0
85.3,Los Gatos,-121.945611,37.160194,95033,0,64,9,435.42,1226.82,48,781.4,8.0,Month-to-Month,0,Credit Card,4,1,No Offer,10,Yes,0.0,No,0
80.35,Hinkley,-117.239306,34.983808,92347,3,60,4,129.72,437.12,32,307.4,13.0,Month-to-Month,0,Bank Withdrawal,2,0,No Offer,0,Yes,0.0,No,1
85.95,Mad River,-123.412327,40.390301,95552,0,60,24,228.72,2335.87,9,2107.15,24.0,Month-to-Month,0,Bank Withdrawal,4,3,No Offer,0,Yes,0.0,No,0
25.95,Mountain View,-122.075299,37.388349,94041,2,42,71,1754.41,3556.31,24,1801.9,0.0,Two Year,0,Credit Card,1,0,Offer A,0,Yes,0.0,Yes,0
45.15,Sacramento,-121.395805,38.486938,95828,0,56,2,12.94,111.44,6,98.5,21.0,Month-to-Month,0,Bank Withdrawal,1,0,Offer E,0,Yes,0.0,No,1
18.8,Los Angeles,-118.272783,33.964131,90003,9,29,1,43.57,62.37,43,18.8,0.0,One Year,0,Mailed Check,0,0,No Offer,0,No,0.0,No,0
100.6,San Francisco,-122.445121,37.770533,94117,0,41,10,452.1,1512.3,45,1060.2,3.0,Month-to-Month,0,Bank Withdrawal,6,1,No Offer,0,Yes,0.0,Yes,1
51.4,Los Altos,-122.134356,37.349546,94022,0,53,2,0.0,96.8,0,96.8,21.0,Month-to-Month,0,Bank Withdrawal,5,1,No Offer,0,No,0.0,No,0
60.5,Fresno,-119.801247,36.799648,93704,0,28,67,2411.33,6281.33,35,3870.0,73.0,One Year,0,Credit Card,4,3,Offer A,0,No,0.0,No,0
69.45,Bradley,-121.004862,35.842889,93426,1,39,7,132.37,609.42,18,477.05,29.0,One Year,3,Bank Withdrawal,5,3,No Offer,0,No,0.0,No,0
78.75,Millbrae,-122.403099,37.601248,94030,0,34,13,499.2,1544.55,38,995.35,23.0,Month-to-Month,0,Bank Withdrawal,7,2,Offer D,50,Yes,0.0,Yes,0
94.7,Posey,-118.636698,35.861928,93260,0,47,57,2219.58,7688.53,38,5468.95,7.0,One Year,0,Bank Withdrawal,6,2,No Offer,0,No,0.0,Yes,0
91.95,Granite Bay,-121.184196,38.749466,95746,0,74,36,407.52,3690.81,11,3301.05,16.0,Month-to-Month,0,Credit Card,4,1,Offer C,0,Yes,17.76,Yes,0
90.05,Coachella,-116.171678,33.680031,92236,0,61,66,876.48,6842.43,13,5965.95,24.0,Two Year,0,Credit Card,9,4,No Offer,0,Yes,0.0,Yes,0
59.05,Doyle,-120.101857,40.012675,96109,0,33,22,720.5,1974.0,32,1253.5,24.0,Month-to-Month,0,Credit Card,4,2,Offer D,0,Yes,0.0,Yes,0
94.4,Berkeley,-122.275684,37.863843,94703,1,57,17,438.43,2045.63,25,1607.2,12.0,Month-to-Month,0,Bank Withdrawal,5,2,Offer D,0,No,0.0,Yes,1
74.45,San Diego,-117.152162,32.886925,92126,0,75,1,39.61,114.06,39,74.45,16.0,Month-to-Month,0,Credit Card,2,0,No Offer,0,Yes,0.0,Yes,1
94.0,South Pasadena,-118.156957,34.110444,91030,1,64,11,282.37,1361.27,25,1078.9,18.0,Month-to-Month,0,Bank Withdrawal,5,0,Offer D,0,Yes,0.0,Yes,1
73.55,La Puente,-117.936436,34.031441,91744,1,27,2,17.0,162.4,8,145.4,59.0,Month-to-Month,0,Bank Withdrawal,3,1,No Offer,0,Yes,0.0,No,1
95.4,Rough And Ready,-121.156163,39.225634,95975,0,52,3,51.03,344.18,17,293.15,28.0,Month-to-Month,0,Bank Withdrawal,5,1,No Offer,0,No,0.0,No,0
74.8,Guadalupe,-120.594655,34.936,93434,0,51,4,29.04,350.94,7,321.9,29.0,Month-to-Month,0,Bank Withdrawal,2,1,No Offer,0,Yes,0.0,No,1
19.75,Winnetka,-118.577563,34.209532,91306,9,38,69,363.63,1739.03,5,1375.4,0.0,Two Year,0,Bank Withdrawal,0,0,Offer A,0,No,0.0,No,0
104.9,Barstow,-117.001509,34.965648,92311,6,38,72,2319.84,10052.49,32,7732.65,25.0,Two Year,3,Credit Card,8,4,Offer A,0,Yes,0.0,Yes,0
93.5,Myers Flat,-123.805913,40.267158,95554,0,46,23,416.76,2758.31,18,2341.55,23.0,Month-to-Month,0,Bank Withdrawal,5,0,Offer D,0,Yes,0.0,Yes,0
74.55,Dulzura,-116.687855,32.622999,91917,5,32,40,554.4,3570.15,13,3015.75,75.0,Month-to-Month,3,Bank Withdrawal,6,1,Offer B,0,Yes,0.0,Yes,0
84.7,Tulare,-119.375243,36.185471,93274,0,44,70,1185.1,7176.15,16,5991.05,10.0,Two Year,0,Credit Card,8,3,No Offer,0,No,0.0,Yes,0
90.85,Knights Landing,-121.765866,38.875508,95645,10,68,70,2695.0,9165.1,38,6470.1,25.0,Two Year,0,Bank Withdrawal,5,1,No Offer,0,Yes,0.0,Yes,0
69.95,Sierraville,-120.345639,39.559709,96126,0,58,3,88.53,338.98,29,220.45,17.0,One Year,0,Bank Withdrawal,5,1,Offer E,30,Yes,0.0,No,0
110.05,Santa Rosa,-122.752839,38.488431,95403,0,27,69,393.99,7801.58,5,7430.75,73.0,Two Year,0,Credit Card,8,3,Offer A,0,Yes,23.16,Yes,0
89.5,Ontario,-117.605618,34.074087,91764,0,58,6,287.52,860.82,47,573.3,25.0,Month-to-Month,0,Bank Withdrawal,4,0,Offer E,0,Yes,0.0,No,1
92.0,San Francisco,-122.415201,37.750021,94110,0,55,72,3269.52,9902.27,45,6632.75,20.0,Two Year,0,Bank Withdrawal,9,4,No Offer,0,No,0.0,Yes,0
86.15,Fullerton,-117.895482,33.879983,92831,1,41,67,214.4,6098.25,3,5883.85,23.0,Two Year,0,Bank Withdrawal,8,3,Offer A,0,No,0.0,Yes,0
99.2,Long Beach,-118.210737,33.752524,90802,1,74,40,790.4,4852.6,19,4062.2,22.0,One Year,0,Credit Card,6,2,No Offer,0,Yes,0.0,No,1
24.9,Browns Valley,-121.320597,39.292334,95918,1,20,19,600.02,1067.72,31,467.7,0.0,Two Year,1,Bank Withdrawal,1,0,No Offer,0,Yes,0.0,Yes,0
40.05,Needles,-114.702256,34.711224,92363,0,25,70,0.0,2799.75,0,2799.75,59.0,Two Year,0,Mailed Check,4,1,Offer A,0,Yes,0.0,No,0
71.05,Sacramento,-121.517552,38.619049,95833,0,23,21,364.35,2012.29,17,1524.85,71.0,Two Year,0,Credit Card,5,3,No Offer,140,No,16.91,No,0
104.9,Angels Camp,-120.632221,38.071327,95222,1,76,32,1392.32,4710.14,43,3351.55,22.0,Month-to-Month,0,Bank Withdrawal,6,2,Offer C,0,Yes,33.73,Yes,1
103.95,Burbank,-118.323548,34.169706,91506,1,69,29,1431.44,4396.24,49,2964.8,19.0,Month-to-Month,1,Bank Withdrawal,5,1,Offer C,0,Yes,0.0,Yes,0
74.2,Murrieta,-117.14719,33.581045,92563,0,25,29,475.02,2468.27,16,1993.25,82.0,Month-to-Month,0,Bank Withdrawal,2,0,Offer C,0,Yes,0.0,Yes,0
95.15,Santa Paula,-119.094824,34.402343,93060,0,22,25,745.25,3220.95,29,2395.7,52.0,Month-to-Month,0,Bank Withdrawal,5,1,No Offer,80,Yes,0.0,No,0
98.8,Valencia,-118.573726,34.457005,91354,0,73,55,491.15,6108.9,8,5617.75,21.0,Month-to-Month,0,Bank Withdrawal,6,1,Offer B,0,Yes,0.0,Yes,1
103.65,Tollhouse,-119.348267,36.993666,93667,4,54,55,1851.3,7527.95,33,5676.65,25.0,Month-to-Month,0,Credit Card,7,2,Offer B,0,Yes,0.0,Yes,0
94.2,Garden Valley,-120.837669,38.852544,95633,0,34,2,85.78,279.58,42,193.8,13.0,Month-to-Month,0,Bank Withdrawal,5,0,No Offer,0,Yes,0.0,Yes,1
20.7,Fallbrook,-117.299644,33.362575,92028,0,28,2,27.78,67.63,13,39.85,0.0,Month-to-Month,0,Bank Withdrawal,0,0,No Offer,0,Yes,0.0,No,0
96.75,Five Points,-120.119911,36.397745,93624,0,58,62,1403.68,7529.08,22,6125.4,9.0,One Year,0,Bank Withdrawal,6,1,Offer B,0,Yes,0.0,Yes,1
20.0,Foresthill,-120.811141,39.031876,95631,0,41,19,457.9,835.45,24,377.55,0.0,Month-to-Month,3,Bank Withdrawal,0,0,Offer D,0,Yes,0.0,No,0
20.65,Richvale,-121.747472,39.495768,95974,7,61,7,35.07,194.02,5,158.95,0.0,Month-to-Month,1,Credit Card,0,0,No Offer,0,No,0.0,No,0
75.3,San Luis Obispo,-120.626442,35.233745,93401,10,26,29,97.15,2360.55,3,2263.4,59.0,Month-to-Month,0,Credit Card,2,1,No Offer,0,Yes,0.0,No,0
33.75,Rancho Palos Verdes,-118.367459,33.753146,90275,4,47,29,0.0,1009.25,0,1009.25,22.0,Month-to-Month,0,Credit Card,2,0,Offer C,0,No,0.0,No,0
81.7,Hathaway Pines,-120.364085,38.184914,95233,0,44,12,220.56,1079.16,18,858.6,3.0,Month-to-Month,0,Bank Withdrawal,3,2,Offer D,0,No,0.0,No,1
70.8,Encino,-118.486056,34.152875,91436,0,25,50,1876.0,5354.15,37,3478.15,71.0,One Year,2,Credit Card,5,3,Offer B,0,Yes,0.0,No,0
111.2,Sonoma,-122.461799,38.25485,95476,6,19,67,2744.32,10275.12,40,7530.8,47.0,Two Year,1,Bank Withdrawal,8,3,No Offer,0,Yes,0.0,Yes,0
86.15,San Bernardino,-117.258107,34.084909,92408,1,63,33,473.22,3218.92,14,2745.7,28.0,Month-to-Month,0,Credit Card,4,0,No Offer,0,No,0.0,Yes,1
75.1,Riverside,-117.319786,33.976328,92507,3,32,37,41.44,2700.24,1,2658.8,23.0,One Year,2,Bank Withdrawal,6,2,Offer C,0,No,0.0,No,0
25.0,San Ramon,-121.976784,37.766556,94583,5,44,64,435.84,2020.64,6,1584.8,0.0,Two Year,0,Credit Card,1,0,Offer B,0,No,0.0,Yes,0
89.9,Fresno,-119.783786,36.732694,93721,0,21,1,32.85,122.75,32,89.9,53.0,Month-to-Month,0,Bank Withdrawal,4,0,Offer E,0,Yes,0.0,No,1
74.85,Pasadena,-118.087353,34.159007,91107,0,64,8,92.64,665.09,11,572.45,7.0,Month-to-Month,0,Bank Withdrawal,2,0,Offer E,0,Yes,0.0,Yes,0
44.95,Grass Valley,-121.137962,39.099204,95949,0,57,9,25.92,466.92,2,431.0,26.0,Month-to-Month,0,Mailed Check,1,0,Offer E,10,No,0.0,No,1
20.05,Lake Isabella,-118.466318,35.607875,93240,0,23,1,18.15,38.2,18,20.05,0.0,Month-to-Month,0,Credit Card,0,0,No Offer,0,No,0.0,No,0
34.7,La Puente,-117.991372,34.038983,91746,1,31,48,0.0,1604.5,0,1604.5,22.0,One Year,0,Mailed Check,3,2,No Offer,0,No,0.0,No,1
66.15,Dulzura,-116.687855,32.622999,91917,0,39,38,765.32,3287.72,20,2522.4,13.0,Month-to-Month,0,Bank Withdrawal,5,3,No Offer,0,Yes,0.0,Yes,0
20.2,Cressey,-120.66527,37.420273,95312,0,36,3,55.29,105.89,18,50.6,0.0,Month-to-Month,3,Bank Withdrawal,0,0,No Offer,0,No,0.0,No,0
19.9,West Sacramento,-121.540036,38.592745,95605,0,35,32,496.96,1098.51,15,601.55,0.0,Month-to-Month,0,Bank Withdrawal,0,0,Offer C,0,No,0.0,No,0
60.65,Kneeland,-123.865325,40.664483,95549,0,43,3,67.47,264.37,22,196.9,11.0,Month-to-Month,0,Credit Card,4,1,No Offer,0,No,0.0,No,0
94.85,Lake Hughes,-118.584212,34.659579,93532,0,34,10,432.6,1386.05,43,953.45,21.0,Month-to-Month,0,Bank Withdrawal,6,2,No Offer,0,Yes,0.0,Yes,1
85.8,San Diego,-117.202542,32.957195,92130,0,30,1,34.47,120.27,34,85.8,59.0,Month-to-Month,0,Credit Card,4,0,Offer E,0,No,0.0,Yes,1
95.2,San Diego,-117.232376,32.787836,92109,5,21,3,69.78,382.63,23,292.85,42.0,Month-to-Month,0,Bank Withdrawal,5,0,No Offer,20,Yes,0.0,Yes,1
34.8,Burlingame,-122.365778,37.57028,94010,0,25,3,0.0,113.95,0,113.95,46.0,Month-to-Month,0,Credit Card,2,0,No Offer,0,Yes,0.0,No,0
81.25,Kyburz,-120.209673,38.766036,95720,10,51,56,1450.4,6070.8,25,4620.4,30.0,Two Year,2,Credit Card,7,4,Offer B,0,No,0.0,Yes,0
24.6,Planada,-120.306399,37.329725,95365,0,24,9,0.0,190.1,0,190.1,52.0,Month-to-Month,0,Mailed Check,1,0,Offer E,0,Yes,0.0,No,0
73.8,Saratoga,-122.051824,37.257772,95070,0,75,53,887.22,4891.07,16,4003.85,15.0,Month-to-Month,0,Credit Card,2,1,No Offer,0,Yes,0.0,No,0
58.55,Whittier,-118.032222,33.960891,90605,0,35,63,1724.94,5228.44,27,3503.5,9.0,One Year,0,Credit Card,4,1,Offer B,0,No,0.0,No,0
55.25,Yorba Linda,-117.792202,33.897253,92886,0,64,35,713.65,2637.75,20,1924.1,21.0,Two Year,0,Credit Card,3,1,No Offer,0,No,0.0,Yes,0
102.6,Rancho Cordova,-121.161585,38.591134,95742,1,36,41,1846.23,6056.65,45,4213.35,10.0,One Year,0,Bank Withdrawal,7,2,Offer B,0,Yes,2.93,Yes,1
25.15,Branscomb,-123.682799,39.710591,95417,0,37,13,0.0,283.26,0,331.85,16.0,Month-to-Month,0,Bank Withdrawal,1,0,Offer D,0,Yes,48.59,No,0
69.2,San Jose,-121.923037,37.257063,95124,8,52,14,41.44,986.09,2,944.65,76.0,Month-to-Month,3,Credit Card,6,2,Offer D,0,No,0.0,Yes,0
19.9,Thousand Palms,-116.382778,33.849263,92276,0,27,14,609.0,892.75,43,283.75,0.0,Month-to-Month,0,Credit Card,0,0,Offer D,0,No,0.0,No,0
93.8,Oak Park,-118.776874,34.19225,91377,9,41,51,1388.73,5928.08,27,4539.35,75.0,Month-to-Month,3,Bank Withdrawal,6,2,No Offer,0,Yes,0.0,Yes,0
55.4,San Jose,-121.723877,37.28682,95135,0,37,1,13.01,68.41,13,55.4,4.0,Month-to-Month,0,Bank Withdrawal,3,0,Offer E,0,Yes,0.0,No,1
69.95,San Francisco,-122.491129,37.722302,94132,0,29,1,13.04,82.99,13,69.95,46.0,Month-to-Month,0,Credit Card,1,0,Offer E,0,Yes,0.0,No,1
55.9,Imperial,-115.662709,32.858595,92251,9,49,68,3045.72,6914.52,44,3848.8,14.0,One Year,0,Bank Withdrawal,3,2,No Offer,20,No,0.0,No,0
88.8,Round Mountain,-122.059933,40.923558,96084,0,77,1,49.6,148.4,49,88.8,20.0,Month-to-Month,0,Bank Withdrawal,4,1,No Offer,10,Yes,0.0,Yes,1
25.85,Hilmar,-120.890747,37.394536,95324,0,50,1,0.0,25.85,0,25.85,18.0,One Year,0,Credit Card,1,0,No Offer,0,No,0.0,No,0
99.65,Sacramento,-121.328386,38.549185,95827,0,38,60,1008.6,6949.65,16,5941.05,21.0,Two Year,0,Bank Withdrawal,6,2,No Offer,0,Yes,0.0,No,0
73.75,Williams,-122.284654,39.117537,95987,0,78,7,226.8,771.95,32,545.15,7.0,Month-to-Month,0,Credit Card,2,0,No Offer,0,No,0.0,Yes,1
20.4,Happy Camp,-123.487478,41.831901,96039,1,48,23,910.57,1389.32,39,478.75,0.0,Two Year,1,Bank Withdrawal,0,0,Offer D,0,No,0.0,No,0
82.3,Grizzly Flats,-120.522149,38.636102,95636,10,40,72,3487.68,9302.83,48,5815.15,15.0,Two Year,0,Bank Withdrawal,7,4,Offer A,0,No,0.0,Yes,0
89.85,Whittier,-118.01208,33.929704,90604,1,38,3,99.9,348.3,33,248.4,12.0,Month-to-Month,2,Bank Withdrawal,4,2,Offer E,0,No,0.0,No,0
75.9,San Diego,-117.199424,32.825086,92117,0,30,5,234.4,592.15,46,357.75,59.0,Month-to-Month,0,Bank Withdrawal,2,0,No Offer,0,Yes,0.0,Yes,1
19.7,Long Beach,-118.182239,33.830099,90807,9,29,6,33.12,146.62,5,113.5,0.0,Month-to-Month,3,Credit Card,0,0,No Offer,0,No,0.0,No,0
19.75,Rancho Santa Fe,-117.207121,32.99356,92091,7,45,13,72.54,319.24,5,246.7,0.0,Two Year,1,Bank Withdrawal,0,0,No Offer,0,Yes,0.0,No,0
19.9,Wishon,-119.548156,37.287758,93669,0,26,47,2030.4,2973.35,43,942.95,0.0,One Year,0,Bank Withdrawal,0,0,Offer B,0,No,0.0,No,0
29.8,Hat Creek,-121.474529,40.789799,96040,1,62,3,0.0,94.4,0,94.4,4.0,Month-to-Month,0,Credit Card,2,1,Offer E,0,No,0.0,No,0
19.65,Stockton,-121.329761,37.954089,95203,8,73,14,640.64,869.29,45,228.65,0.0,One Year,0,Credit Card,0,0,No Offer,0,No,0.0,No,0
77.15,Yucca Valley,-116.425984,34.159534,92284,10,62,23,759.46,2518.86,33,1759.4,12.0,Two Year,2,Bank Withdrawal,6,3,No Offer,0,Yes,0.0,Yes,0
92.0,Citrus Heights,-121.307864,38.69549,95621,8,47,72,3116.88,9701.28,43,6474.4,16.0,Two Year,0,Bank Withdrawal,9,4,Offer A,110,No,0.0,Yes,0
43.95,Alpine,-116.703729,32.827184,91901,0,55,1,34.48,78.43,34,43.95,9.0,Month-to-Month,0,Credit Card,1,0,Offer E,0,No,0.0,No,1
103.1,Paicines,-120.952122,36.525703,95043,0,33,66,2847.24,9442.24,43,6595.0,20.0,Month-to-Month,0,Bank Withdrawal,8,4,Offer A,0,Yes,0.0,Yes,0
25.55,Mc Kittrick,-119.730885,35.38381,93251,3,37,53,1765.43,3064.16,33,1336.1,0.0,Two Year,3,Credit Card,1,0,Offer B,0,No,37.37,Yes,0
79.0,Pollock Pines,-120.453416,38.733908,95726,0,28,11,110.66,1039.96,10,929.3,48.0,Month-to-Month,0,Bank Withdrawal,3,1,Offer D,0,Yes,0.0,Yes,0
111.6,Pasadena,-118.087353,34.159007,91107,0,44,61,477.02,7353.07,7,6876.05,11.0,Two Year,0,Credit Card,8,3,No Offer,0,Yes,0.0,Yes,1
60.95,San Diego,-117.202542,32.957195,92130,0,54,2,29.76,164.36,14,134.6,12.0,Month-to-Month,2,Bank Withdrawal,4,2,No Offer,0,No,0.0,Yes,0
20.3,Reedley,-119.421842,36.636638,93654,0,48,1,4.09,24.39,4,20.3,0.0,Month-to-Month,0,Credit Card,0,0,No Offer,0,No,0.0,No,0
35.45,Harbor City,-118.300237,33.798266,90710,0,64,1,0.0,35.45,0,35.45,22.0,Month-to-Month,0,Bank Withdrawal,3,0,Offer E,0,Yes,0.0,No,1
87.4,San Diego,-117.202542,32.957195,92130,1,34,67,1902.8,7821.6,28,5918.8,10.0,One Year,0,Bank Withdrawal,4,2,Offer A,0,No,0.0,Yes,1
74.15,Maxwell,-122.226568,39.281194,95955,0,63,18,78.84,1465.84,4,1387.0,20.0,Month-to-Month,0,Credit Card,2,0,No Offer,0,No,0.0,Yes,0
94.75,Bakersfield,-118.841442,35.449881,93306,1,42,18,615.06,2306.96,34,1691.9,16.0,Month-to-Month,0,Bank Withdrawal,5,0,No Offer,0,Yes,0.0,Yes,0
78.1,Lomita,-118.317354,33.794209,90717,0,32,12,510.6,1457.9,42,947.3,18.0,Month-to-Month,0,Bank Withdrawal,3,0,Offer D,0,No,0.0,No,1
104.3,Fallbrook,-117.299644,33.362575,92028,5,73,27,275.13,3142.88,10,2867.75,27.0,Month-to-Month,0,Bank Withdrawal,6,2,Offer C,0,Yes,0.0,Yes,1
100.7,Venice,-118.479229,33.991782,90291,5,60,61,1113.86,7222.51,18,6018.65,19.0,One Year,1,Credit Card,7,3,Offer B,90,Yes,0.0,Yes,0
107.65,Danville,-121.903253,37.791481,94506,1,25,65,1799.85,8882.7,27,7082.85,52.0,Two Year,0,Bank Withdrawal,8,3,No Offer,0,Yes,0.0,Yes,0
20.0,Denair,-120.757977,37.524721,95316,0,23,41,413.69,1223.99,10,810.3,0.0,Two Year,0,Mailed Check,0,0,Offer B,0,No,0.0,No,0
50.1,Los Angeles,-118.238728,34.065875,90012,10,51,19,179.93,1210.38,9,910.45,13.0,Month-to-Month,2,Credit Card,2,0,Offer D,120,No,0.0,Yes,0
49.05,Valley Ford,-122.935056,38.339996,94972,0,42,2,29.4,160.5,14,91.1,13.0,Month-to-Month,0,Credit Card,2,1,Offer E,40,Yes,0.0,No,1
86.85,San Jose,-121.762429,37.218705,95139,3,73,2,8.38,204.73,4,156.35,11.0,Month-to-Month,0,Credit Card,3,0,No Offer,40,Yes,0.0,Yes,1
19.95,New Cuyama,-119.750142,34.956577,93254,1,30,4,114.2,197.1,28,82.9,0.0,Month-to-Month,2,Bank Withdrawal,0,0,No Offer,0,Yes,0.0,No,0
54.3,Crockett,-122.228415,38.049292,94525,6,34,25,949.25,2246.05,37,1296.8,22.0,Month-to-Month,1,Bank Withdrawal,3,2,Offer C,0,No,0.0,No,0
90.95,South Dos Palos,-120.653519,36.959731,93665,1,21,60,1995.0,7448.4,33,5453.4,52.0,One Year,0,Bank Withdrawal,5,2,Offer B,0,No,0.0,No,1
85.2,Fontana,-117.468896,34.049671,92337,0,32,8,211.28,838.68,26,627.4,16.0,Month-to-Month,0,Credit Card,4,0,Offer E,0,Yes,0.0,Yes,1
84.45,Redwood Valley,-123.25211,39.298065,95470,3,75,72,1203.84,7103.69,16,5899.85,9.0,Two Year,0,Credit Card,7,3,Offer A,0,No,0.0,Yes,0
