monthly_charge,city,zip_code,latitude,longitude,age,total_long_distance_charges,number_of_referrals,total_charges,avg_monthly_gb_download,tenure_in_months,avg_monthly_long_distance_charges,total_revenue,number_of_dependents,contract,payment_method,engagement_score,total_extra_data_charges,offer,internet_type,num_addon_services,paperless_billing,total_refunds,customer_status
35.45,Los Angeles,90077,34.102084,-118.451629,59,0.0,10,1391.65,17.0,41,0,1391.65,0,One Year,Credit Card,3,0,No Offer,Cable,2,No,0.0,0
89.55,Novato,94947,38.112166,-122.634384,49,17.72,1,185.55,23.0,2,8,203.27,0,Month-to-Month,Bank Withdrawal,4,0,Offer E,Fiber Optic,0,Yes,0.0,1
92.7,Albion,95410,39.225694,-123.717354,37,846.26,0,1556.85,19.0,17,49,2403.11,2,Month-to-Month,Credit Card,5,0,No Offer,Fiber Optic,3,Yes,0.0,0
19.35,Newport Coast,92657,33.603282,-117.821841,46,1358.5,2,1153.25,0.0,55,24,2511.75,2,Two Year,Bank Withdrawal,0,0,No Offer,No Internet,0,No,0.0,0
49.4,Santa Ysabel,92070,33.174725,-116.743329,54,235.3,3,232.55,52.0,5,47,477.85,3,Month-to-Month,Mailed Check,2,10,No Offer,Cable,1,Yes,0.0,0
70.9,Goleta,93117,34.489983,-120.091246,48,1863.88,2,4911.35,9.0,68,27,6725.86,0,Two Year,Credit Card,6,0,No Offer,DSL,4,No,49.37,0
-10.0,Menlo Park,94025,37.449551,-122.183762,80,149.59,2,533.05,21.0,7,21,682.64,0,Month-to-Month,Bank Withdrawal,2,0,No Offer,Fiber Optic,0,Yes,0.0,0
69.25,Antelope,95843,38.715498,-121.363411,50,236.16,0,418.4,5.0,6,39,654.56,0,Month-to-Month,Mailed Check,1,0,No Offer,Fiber Optic,0,Yes,0.0,1
104.4,Burbank,91502,34.177267,-118.31003,78,259.53,0,4133.95,15.0,41,6,4393.48,0,Month-to-Month,Bank Withdrawal,6,0,Offer B,Fiber Optic,2,Yes,0.0,0
74.95,San Pablo,94806,37.980269,-122.342635,54,7.52,0,151.75,16.0,2,3,159.27,0,Month-to-Month,Bank Withdrawal,2,0,No Offer,Fiber Optic,1,No,0.0,0
25.4,Walnut,91789,34.018354,-117.85492,21,32.73,0,25.4,0.0,1,32,58.13,1,Month-to-Month,Mailed Check,1,0,Offer E,No Internet,0,No,0.0,0
20.25,Isleton,95641,38.154823,-121.601358,25,42.96,0,20.25,0.0,1,42,63.21,0,Month-to-Month,Credit Card,0,0,No Offer,No Internet,0,Yes,0.0,0
107.95,Compton,90221,33.885811,-118.206459,42,37.98,0,318.6,28.0,3,12,356.58,0,Month-to-Month,Bank Withdrawal,7,0,Offer E,Fiber Optic,3,Yes,0.0,0
45.6,San Diego,92109,32.787836,-117.232376,31,11.73,0,45.6,24.0,1,11,57.33,0,Month-to-Month,Bank Withdrawal,1,0,Offer E,DSL,0,Yes,0.0,1
89.2,San Diego,92109,32.787836,-117.232376,25,116.0,1,2698.35,48.0,29,4,2814.35,0,Month-to-Month,Bank Withdrawal,5,0,No Offer,Fiber Optic,1,Yes,0.0,1
96.65,Long Beach,90822,33.778436,-118.118648,33,490.11,1,1588.25,5.0,17,28,2078.36,0,One Year,Bank Withdrawal,5,0,Offer D,Fiber Optic,1,Yes,0.0,0
20.35,Ivanhoe,93235,36.385818,-119.224243,56,79.55,3,697.65,0.0,37,2,732.13,0,Month-to-Month,Bank Withdrawal,0,0,No Offer,No Internet,0,No,45.07,0
54.7,Sequoia National Park,93262,36.527243,-118.594938,60,876.26,1,1178.75,16.0,22,39,2055.01,0,Month-to-Month,Credit Card,3,0,Offer D,Cable,2,Yes,0.0,0
88.15,Poway,92064,32.984395,-117.013454,63,1483.76,0,6148.45,2.0,68,21,7595.92,0,Two Year,Bank Withdrawal,9,0,No Offer,DSL,4,Yes,36.29,0
78.95,Yuba City,95991,39.02741,-121.614982,56,1874.88,10,5730.15,6.0,72,26,7605.03,0,Two Year,Bank Withdrawal,7,0,Offer A,Cable,2,Yes,0.0,0
51.2,Auburn,95602,38.99003,-121.114408,57,0.0,1,1561.5,12.0,30,0,1561.5,2,Month-to-Month,Credit Card,5,0,No Offer,DSL,1,No,0.0,1
73.9,Port Costa,94569,38.035707,-122.196821,70,478.33,0,2217.15,2.0,31,15,2695.48,0,Month-to-Month,Bank Withdrawal,2,0,No Offer,Fiber Optic,0,Yes,0.0,1
19.35,Marysville,95901,39.19514,-121.503883,40,205.12,10,275.9,0.0,16,12,447.78,3,Month-to-Month,Credit Card,0,0,No Offer,No Internet,0,No,33.24,0
25.75,Healdsburg,95448,38.618347,-122.908422,56,318.5,0,1654.75,0.0,65,4,1931.51,0,Two Year,Credit Card,1,0,No Offer,No Internet,0,No,41.74,0
67.95,Strawberry Valley,95981,39.58458,-121.093256,39,74.5,1,350.3,4.0,5,14,444.8,0,Month-to-Month,Bank Withdrawal,5,20,No Offer,DSL,2,No,0.0,1
73.1,El Dorado Hills,95762,38.684437,-121.055634,50,491.15,0,4144.9,26.0,55,8,4636.05,0,Month-to-Month,Bank Withdrawal,2,0,No Offer,Fiber Optic,0,Yes,0.0,0
50.75,La Quinta,92253,33.695532,-116.310571,19,24.66,0,50.75,26.0,1,24,75.41,0,Month-to-Month,Credit Card,2,0,No Offer,DSL,0,No,0.0,0
95.0,Navarro,95463,39.182916,-123.552571,41,341.22,1,3008.15,22.0,33,10,3409.37,0,Month-to-Month,Credit Card,6,60,No Offer,Fiber Optic,2,Yes,0.0,0
104.1,Ramona,92065,33.044541,-116.833922,80,1257.9,0,3121.1,21.0,30,41,4379.0,0,Two Year,Bank Withdrawal,6,0,No Offer,Fiber Optic,2,Yes,0.0,0
55.55,Los Angeles,90025,34.046174,-118.446333,49,290.0,7,1405.3,10.0,25,11,1695.3,0,Month-to-Month,Credit Card,3,0,Offer C,DSL,1,No,0.0,0
35.45,Cabazon,92230,33.929812,-116.76058,29,0.0,0,106.85,85.0,3,0,106.85,0,Month-to-Month,Credit Card,3,0,No Offer,DSL,2,Yes,0.0,1
50.7,Santa Monica,90403,34.031529,-118.491156,42,39.24,0,151.3,30.0,4,9,190.54,0,Month-to-Month,Credit Card,2,0,No Offer,DSL,1,No,0.0,1
21.1,Aptos,95003,37.013471,-121.877877,31,18.81,0,21.1,0.0,1,18,39.91,0,Month-to-Month,Credit Card,0,0,No Offer,No Internet,0,No,0.0,0
89.8,Rio Vista,94571,38.148862,-121.737696,57,144.2,0,1129.1,29.0,14,10,1273.3,0,Month-to-Month,Credit Card,4,0,Offer D,Fiber Optic,0,Yes,0.0,1
70.95,Clearlake Oaks,95423,39.07116,-122.598542,52,622.75,0,1767.35,18.0,25,24,2410.1,0,Month-to-Month,Credit Card,1,20,No Offer,Fiber Optic,0,No,0.0,1
20.15,Santa Rosa,95403,38.488431,-122.752839,43,441.0,0,536.35,0.0,25,17,977.35,0,Month-to-Month,Mailed Check,0,0,Offer C,No Internet,0,Yes,0.0,0
115.55,Danville,94526,37.815459,-121.977203,23,120.24,1,8312.4,59.0,72,1,8432.64,0,Two Year,Credit Card,9,0,No Offer,Fiber Optic,4,Yes,0.0,0
19.5,Sacramento,95834,38.646209,-121.52446,60,798.16,0,835.5,0.0,44,18,1633.66,0,One Year,Credit Card,0,0,No Offer,No Internet,0,No,0.0,0
75.4,San Francisco,94116,37.74441,-122.486764,44,270.18,0,1380.4,22.0,18,15,1650.58,0,Month-to-Month,Bank Withdrawal,2,0,Offer D,Fiber Optic,1,Yes,0.0,0
84.35,Millbrae,94030,37.601248,-122.403099,66,184.03,0,609.65,20.0,7,26,774.51,0,One Year,Bank Withdrawal,3,10,Offer E,Fiber Optic,1,Yes,29.17,0
72.1,Pomona,91767,34.083086,-117.737997,39,1463.79,9,4194.85,24.0,59,24,5658.64,0,Two Year,Bank Withdrawal,5,0,No Offer,Cable,2,Yes,0.0,0
84.8,Solvang,93463,34.624399,-120.137875,53,649.6,7,5917.55,24.0,70,9,6687.15,0,Two Year,Bank Withdrawal,8,120,No Offer,DSL,3,Yes,0.0,0
26.2,Needles,92363,34.711224,-114.702256,49,1968.8,5,1077.5,0.0,40,49,3046.3,4,Month-to-Month,Bank Withdrawal,1,0,No Offer,No Internet,0,Yes,0.0,0
105.35,Rosemead,91770,34.065108,-118.082791,47,1119.96,0,3688.6,21.0,34,32,4918.56,3,Month-to-Month,Bank Withdrawal,7,110,No Offer,Fiber Optic,3,Yes,0.0,0
85.3,Santa Barbara,93111,34.460197,-119.802602,37,228.7,0,420.45,30.0,5,45,659.15,0,Month-to-Month,Credit Card,3,10,Offer E,Fiber Optic,1,Yes,0.0,0
45.65,Carson,90745,33.822295,-118.26411,63,14.12,0,45.65,24.0,1,14,59.77,0,Month-to-Month,Bank Withdrawal,1,0,Offer E,Cable,0,Yes,0.0,1
44.8,Tustin,92780,33.735802,-117.818805,39,0.0,1,2983.65,19.0,68,0,2983.65,2,One Year,Credit Card,4,0,Offer A,DSL,2,No,0.0,0
19.7,San Francisco,94130,37.820894,-122.369725,40,214.62,8,263.65,0.0,14,15,478.27,1,Two Year,Credit Card,0,0,Offer D,No Internet,0,Yes,0.0,0
89.95,Corona,92879,33.893823,-117.531446,49,181.45,0,1682.4,6.0,19,9,1834.21,0,Month-to-Month,Credit Card,4,0,Offer D,Fiber Optic,2,No,29.64,0
68.65,Camino,95709,38.748316,-120.675512,51,42.56,0,261.25,23.0,4,10,303.81,0,Month-to-Month,Bank Withdrawal,5,0,Offer E,DSL,1,Yes,0.0,1
25.25,Fresno,93650,36.841655,-119.797113,55,2367.78,1,1733.15,0.0,67,35,4100.93,0,Two Year,Credit Card,1,0,No Offer,No Internet,0,Yes,0.0,0
108.75,Ranchita,92066,33.215251,-116.53633,70,459.0,1,5431.9,2.0,50,9,5890.9,0,Month-to-Month,Bank Withdrawal,8,0,Offer B,Fiber Optic,3,No,0.0,0
35.2,San Pedro,90732,33.744119,-118.31448,47,0.0,0,1463.7,4.0,43,0,1463.7,0,One Year,Credit Card,3,0,No Offer,Cable,2,Yes,0.0,0
19.3,Chatsworth,91311,34.294142,-118.603883,33,1508.63,3,1192.7,0.0,59,25,2701.33,0,Two Year,Credit Card,0,0,Offer B,No Internet,0,No,0.0,0
20.1,Oakland,94612,37.809014,-122.269739,31,901.8,0,562.6,0.0,27,33,1464.4,0,One Year,Bank Withdrawal,0,0,No Offer,No Internet,0,No,0.0,0
61.15,San Mateo,94402,37.556634,-122.317723,21,945.56,1,1422.05,30.0,22,42,2447.61,3,Month-to-Month,Credit Card,4,80,Offer D,DSL,3,No,0.0,1
63.9,Banning,92220,33.936298,-116.849577,27,1684.0,4,2635.0,52.0,40,42,4319.0,0,One Year,Bank Withdrawal,4,0,Offer B,DSL,1,No,0.0,0
99.2,Fawnskin,92333,34.274846,-116.937581,55,1115.92,1,3754.6,4.0,37,30,4870.52,0,One Year,Bank Withdrawal,7,0,No Offer,Fiber Optic,3,Yes,0.0,1
79.75,Stevinson,95374,37.316807,-120.855753,42,642.45,0,1111.85,21.0,15,42,1754.3,0,Month-to-Month,Bank Withdrawal,3,0,Offer D,Fiber Optic,1,Yes,0.0,1
54.9,Norwalk,90650,33.905963,-118.08263,37,91.0,0,1505.15,11.0,28,3,1596.15,0,Month-to-Month,Credit Card,3,0,No Offer,Cable,1,Yes,0.0,0
75.3,Calistoga,94515,38.629618,-122.593216,20,535.86,1,989.45,82.0,13,41,1525.31,0,One Year,Credit Card,6,0,Offer D,Cable,1,Yes,0.0,1
20.05,Weaverville,96093,40.759401,-122.939337,26,110.8,0,95.55,0.0,5,22,206.35,0,Month-to-Month,Credit Card,0,0,No Offer,No Internet,0,No,0.0,0
65.65,Davis,95618,38.544002,-121.685559,25,1327.86,1,3566.7,52.0,54,24,4894.56,2,Two Year,Credit Card,5,0,Offer B,DSL,3,Yes,0.0,0
39.35,Fort Irwin,92310,35.349241,-116.770281,45,0.0,7,2395.05,16.0,63,0,2395.05,2,Two Year,Bank Withdrawal,4,0,Offer B,DSL,3,No,0.0,0
20.05,Los Angeles,90043,33.988543,-118.334081,31,295.8,10,406.05,0.0,20,14,701.85,2,Month-to-Month,Credit Card,0,0,No Offer,No Internet,0,No,0.0,0
105.2,Burbank,91501,34.188339,-118.300942,23,1979.84,0,4822.85,71.0,46,43,6802.69,0,One Year,Bank Withdrawal,7,0,No Offer,Fiber Optic,3,Yes,0.0,1
92.4,Hayward,94541,37.674002,-122.076796,20,2696.4,8,6786.1,48.0,72,37,9632.5,0,Two Year,Bank Withdrawal,9,150,No Offer,DSL,4,Yes,0.0,0
25.6,Capay,95607,38.681651,-122.130569,48,793.78,3,1888.25,0.0,71,11,2682.03,0,Two Year,Credit Card,1,0,No Offer,No Internet,0,No,0.0,0
19.45,Chowchilla,93610,37.100948,-120.270136,22,1121.6,5,674.55,0.0,32,35,1796.15,3,Month-to-Month,Credit Card,0,0,Offer C,No Internet,0,Yes,0.0,0
105.9,Los Angeles,90047,33.958149,-118.308441,65,1818.31,0,7521.95,23.0,71,25,9433.61,0,One Year,Bank Withdrawal,7,100,No Offer,Fiber Optic,2,Yes,6.65,0
89.85,San Jose,95113,37.333851,-121.891147,69,2654.69,0,6293.45,22.0,71,37,9088.14,0,Two Year,Credit Card,8,140,Offer A,DSL,4,No,0.0,0
65.15,Anaheim,92801,33.844983,-117.952151,29,2884.73,2,4681.75,69.0,71,40,7561.78,0,Two Year,Bank Withdrawal,6,0,Offer A,DSL,3,No,4.7,0
69.7,Long Beach,90802,33.752524,-118.210737,22,346.94,0,1490.4,42.0,22,15,1837.34,0,Month-to-Month,Credit Card,1,0,Offer D,Fiber Optic,0,Yes,0.0,0
96.0,Harbor City,90710,33.798266,-118.300237,46,306.48,0,1062.1,27.0,12,25,1368.58,0,Month-to-Month,Bank Withdrawal,5,0,No Offer,Fiber Optic,1,Yes,0.0,1
19.95,Glen Ellen,95442,38.368744,-122.522642,47,1343.0,4,1303.25,0.0,68,19,2646.25,3,Two Year,Bank Withdrawal,0,0,Offer A,No Internet,0,Yes,0.0,0
53.45,Angelus Oaks,92305,34.1678,-116.86433,30,25.18,0,119.5,76.0,2,12,144.68,0,Month-to-Month,Bank Withdrawal,3,0,No Offer,Cable,2,No,0.0,0
58.55,San Leandro,94579,37.687264,-122.15728,68,257.52,0,1718.95,22.0,29,8,1943.37,0,Two Year,Bank Withdrawal,4,0,Offer C,DSL,2,Yes,33.1,0
40.1,Walnut Creek,94596,37.900662,-122.052782,36,0.0,0,293.3,19.0,7,0,293.3,0,Month-to-Month,Credit Card,4,0,No Offer,DSL,1,Yes,0.0,1
79.95,Stevinson,95374,37.316807,-120.855753,23,480.72,0,1043.4,41.0,12,40,1524.12,0,Month-to-Month,Bank Withdrawal,3,0,No Offer,Fiber Optic,0,Yes,0.0,0
55.0,Chilcoot,96105,39.872961,-120.198876,31,1467.78,0,1885.15,8.0,34,43,3352.93,0,One Year,Credit Card,3,0,Offer C,DSL,2,No,0.0,0
79.2,La Quinta,92253,33.695532,-116.310571,27,288.42,1,1742.75,51.0,22,13,2031.17,0,Month-to-Month,Bank Withdrawal,7,0,No Offer,DSL,2,Yes,0.0,1
85.9,Keene,93531,35.214982,-118.59049,37,369.45,0,1269.55,13.0,15,24,1639.0,0,Month-to-Month,Bank Withdrawal,4,0,No Offer,Fiber Optic,1,Yes,0.0,1
78.85,Death Valley,92328,36.27688,-117.033326,61,1598.8,10,3126.85,17.0,40,39,4725.65,0,Month-to-Month,Credit Card,3,0,No Offer,Fiber Optic,1,Yes,0.0,0
94.45,Hume,93628,36.807595,-118.901544,22,1637.28,5,6921.7,48.0,72,22,8558.98,0,Two Year,Credit Card,6,0,Offer A,Fiber Optic,2,Yes,0.0,0
49.2,Wilton,95693,38.392559,-121.225093,57,0.0,2,3580.95,15.0,72,0,3580.95,0,Two Year,Bank Withdrawal,6,0,Offer A,DSL,3,Yes,0.0,0
73.55,San Leandro,94577,37.717196,-122.159338,60,1993.05,0,3349.1,15.0,45,44,5342.15,0,Two Year,Credit Card,6,0,Offer B,DSL,2,No,0.0,0
111.95,San Rafael,94903,38.018065,-122.546024,47,1733.76,9,8033.1,19.0,72,24,9766.86,1,Two Year,Bank Withdrawal,8,0,No Offer,Fiber Optic,4,No,0.0,0
89.3,Sunnyvale,94087,37.3511,-122.037311,38,1412.9,7,6388.65,27.0,71,19,7801.55,0,Two Year,Credit Card,9,0,Offer A,DSL,4,No,0.0,0
59.1,Los Angeles,90018,34.028735,-118.317236,74,103.14,6,1011.05,13.0,18,5,1083.14,0,Two Year,Credit Card,3,0,No Offer,DSL,1,Yes,31.05,0
85.3,Rodeo,94572,38.027218,-122.23463,40,2080.22,1,4045.65,23.0,47,44,6125.87,0,Month-to-Month,Bank Withdrawal,4,0,No Offer,Cable,1,Yes,0.0,1
53.0,Los Angeles,90014,34.043144,-118.251977,65,0.0,4,3656.25,23.0,68,0,3656.25,1,Two Year,Bank Withdrawal,6,0,No Offer,DSL,2,Yes,0.0,0
80.65,Greenbrae,94904,37.946617,-122.563571,52,1380.4,0,5330.2,13.0,68,20,6800.6,0,Two Year,Bank Withdrawal,7,90,No Offer,DSL,2,Yes,0.0,0
84.85,Dublin,94568,37.713926,-121.928425,25,36.07,0,84.85,41.0,1,36,120.92,0,Month-to-Month,Bank Withdrawal,4,0,No Offer,Fiber Optic,1,Yes,0.0,1
60.85,Caruthers,93609,36.5276,-119.865999,59,418.2,5,2003.6,26.0,34,12,2421.8,0,Month-to-Month,Bank Withdrawal,4,0,No Offer,DSL,2,Yes,0.0,0
79.65,Julian,92036,32.980678,-116.262854,24,1078.32,2,1928.7,82.0,24,44,3007.02,0,Month-to-Month,Credit Card,4,0,No Offer,Fiber Optic,1,Yes,0.0,0
89.85,Colusa,95932,39.273096,-122.050763,71,1068.94,1,5125.75,10.0,58,18,6324.69,1,One Year,Bank Withdrawal,5,130,Offer B,Fiber Optic,3,Yes,0.0,0
84.8,Clovis,93612,36.814539,-119.711868,75,276.57,0,546.95,13.0,7,39,823.52,0,Month-to-Month,Bank Withdrawal,3,0,No Offer,Fiber Optic,0,Yes,0.0,1
50.8,Carmel,93923,36.460611,-121.852507,58,1.28,0,50.8,27.0,1,1,52.08,0,Month-to-Month,Bank Withdrawal,2,0,Offer E,DSL,1,No,0.0,1
51.0,Aguanga,92536,33.482243,-116.827173,56,241.43,0,354.05,22.0,7,34,595.48,0,Month-to-Month,Mailed Check,2,0,No Offer,Cable,1,Yes,0.0,1
90.0,Somes Bar,95568,41.444606,-123.471895,66,577.2,8,3371.75,19.0,37,15,3948.95,0,Two Year,Bank Withdrawal,4,0,No Offer,Fiber Optic,2,No,0.0,0
24.55,Grass Valley,95945,39.194539,-120.988066,34,1536.6,6,1331.05,0.0,52,29,2867.65,1,Two Year,Credit Card,1,0,Offer B,No Internet,0,No,0.0,0
20.0,Escondido,92029,33.079834,-117.134275,42,977.85,9,886.4,0.0,45,21,1864.25,2,Two Year,Bank Withdrawal,0,0,No Offer,No Internet,0,Yes,0.0,0
24.25,Costa Mesa,92626,33.678591,-117.905471,60,120.83,4,1077.95,0.0,43,2,1198.78,2,Two Year,Credit Card,1,0,No Offer,No Internet,0,No,0.0,0
81.95,San Jose,95138,37.246064,-121.749494,23,1116.7,10,2070.05,27.0,26,42,3186.75,3,Month-to-Month,Bank Withdrawal,3,0,No Offer,Fiber Optic,2,No,0.0,0
98.6,Sultana,93666,36.545353,-119.338535,62,615.44,0,5581.05,28.0,56,10,6196.49,0,Month-to-Month,Bank Withdrawal,6,0,Offer B,Fiber Optic,1,No,0.0,0
25.25,Willow Creek,95573,40.949012,-123.655847,40,0.0,0,25.25,15.0,1,0,35.25,0,Month-to-Month,Bank Withdrawal,1,10,Offer E,DSL,0,No,0.0,0
85.3,Rio Nido,95471,38.522328,-122.97932,36,1710.88,1,5560.0,26.0,68,25,7270.88,2,Two Year,Bank Withdrawal,8,0,No Offer,Cable,3,No,0.0,0
45.85,Brea,92823,33.924143,-117.79387,25,0.0,3,1246.4,27.0,27,0,1276.4,0,One Year,Credit Card,5,30,No Offer,DSL,2,Yes,0.0,0
85.5,La Mesa,91942,32.782501,-117.01611,35,103.5,0,791.7,14.0,9,11,895.2,0,Month-to-Month,Bank Withdrawal,3,0,Offer E,Fiber Optic,0,Yes,0.0,0
45.15,Los Angeles,90028,34.099869,-118.326843,59,284.24,0,438.4,5.0,8,35,722.64,0,Month-to-Month,Credit Card,1,0,No Offer,Cable,0,Yes,0.0,1
19.4,Modesto,95356,37.716186,-121.025836,49,2.85,0,19.4,0.0,1,2,22.25,0,Month-to-Month,Credit Card,0,0,No Offer,No Internet,0,No,0.0,0
116.05,Fountain Valley,92708,33.712036,-117.950113,41,1872.98,5,8297.5,18.0,71,26,10237.91,1,Two Year,Bank Withdrawal,9,110,Offer A,Fiber Optic,4,Yes,42.57,0
19.4,Santa Rosa,95409,38.468893,-122.580539,47,497.1,0,289.3,0.0,15,33,786.4,0,Month-to-Month,Bank Withdrawal,0,0,Offer D,No Internet,0,No,0.0,1
93.9,Piru,93040,34.432843,-118.730106,38,383.6,1,6579.05,14.0,70,5,6962.65,0,Two Year,Bank Withdrawal,6,0,Offer A,Fiber Optic,4,No,0.0,1
85.9,Covelo,95428,39.83307,-123.178765,39,782.64,9,6110.75,24.0,72,10,6893.39,0,Two Year,Credit Card,8,0,No Offer,DSL,3,Yes,0.0,0
99.15,Monterey Park,91754,34.050322,-118.147037,22,128.52,0,1956.4,51.0,21,6,2084.92,0,Month-to-Month,Bank Withdrawal,6,0,Offer D,Fiber Optic,2,Yes,0.0,0
20.1,Pleasanton,94566,37.633361,-121.862395,45,1417.5,0,1079.45,0.0,54,26,2496.95,0,Two Year,Credit Card,0,0,Offer B,No Internet,0,No,0.0,0
19.5,Blairsden Graeagle,96103,39.783747,-120.661032,19,105.68,10,162.15,0.0,8,13,267.83,2,Two Year,Credit Card,0,0,No Offer,No Internet,0,No,0.0,0
49.3,Homewood,96141,39.117018,-120.212535,34,115.68,0,1233.25,16.0,24,4,1348.93,0,Month-to-Month,Credit Card,2,0,No Offer,DSL,1,Yes,0.0,0
19.55,Madera,93637,36.902954,-120.194274,20,636.48,3,883.35,0.0,48,13,1519.83,2,Two Year,Credit Card,0,0,Offer B,No Internet,0,No,0.0,0
55.2,Van Nuys,91411,34.17847,-118.459472,22,35.6,0,55.2,58.0,1,35,90.8,0,Month-to-Month,Credit Card,3,0,No Offer,DSL,0,No,0.0,1
24.3,Salton City,92275,33.28156,-115.955541,41,33.5,6,132.25,0.0,5,6,165.75,3,Month-to-Month,Credit Card,1,0,No Offer,No Internet,0,Yes,0.0,0
44.45,Grass Valley,95945,39.194539,-120.988066,20,0.0,1,792.15,52.0,17,0,792.15,2,One Year,Credit Card,4,0,No Offer,DSL,2,No,0.0,0
79.35,Santa Ana,92701,33.748478,-117.858918,48,2145.6,2,5753.25,14.0,72,29,7938.85,0,Two Year,Bank Withdrawal,7,40,No Offer,DSL,3,Yes,0.0,0
103.2,Amboy,92304,34.559882,-115.637164,30,2135.52,4,7362.9,59.0,72,29,9453.04,2,One Year,Credit Card,7,0,No Offer,Fiber Optic,2,Yes,45.38,0
44.4,Thousand Palms,92276,33.849263,-116.382778,75,0.0,0,263.05,24.0,6,0,263.05,0,Month-to-Month,Bank Withdrawal,4,0,No Offer,DSL,0,Yes,0.0,0
-4.0,Badger,93603,36.64545,-118.924982,21,1613.52,9,5401.9,59.0,72,22,7035.42,0,Two Year,Credit Card,7,20,Offer A,DSL,4,No,0.0,0
50.85,Los Angeles,90062,34.003553,-118.308933,36,51.52,1,239.55,22.0,4,12,291.07,1,Month-to-Month,Credit Card,2,0,No Offer,Cable,0,No,0.0,1
20.65,Hayward,94544,37.639215,-122.037554,55,691.3,9,1218.45,0.0,62,11,1909.75,2,Two Year,Credit Card,0,0,Offer B,No Internet,0,No,0.0,0
95.55,Riverdale,93656,36.452211,-119.94575,29,174.72,0,3692.85,71.0,39,4,3867.57,0,One Year,Bank Withdrawal,6,0,Offer C,Fiber Optic,3,Yes,0.0,1
20.4,Trinidad,95570,41.162295,-124.027381,27,27.5,3,20.4,0.0,1,27,47.9,2,One Year,Credit Card,0,0,No Offer,No Internet,0,No,0.0,0
60.5,West Covina,91791,34.061634,-117.893169,56,2406.18,4,3145.15,12.0,51,47,5551.33,0,One Year,Bank Withdrawal,4,0,Offer B,Cable,3,Yes,0.0,0
103.25,Escondido,92027,33.141265,-116.967221,20,2581.0,0,6017.65,47.0,58,44,8598.65,0,One Year,Bank Withdrawal,7,0,Offer B,Fiber Optic,2,Yes,0.0,1
81.85,La Mesa,91942,32.782501,-117.01611,44,48.26,0,3141.7,13.0,38,1,3189.96,2,Month-to-Month,Credit Card,3,0,No Offer,Fiber Optic,1,Yes,0.0,0
80.1,Poway,92064,32.984395,-117.013454,29,848.43,0,2603.3,48.0,33,25,3451.73,0,One Year,Bank Withdrawal,3,0,No Offer,Fiber Optic,1,No,0.0,0
19.4,Torrance,90501,33.833699,-118.314387,20,620.4,0,415.4,0.0,20,31,1035.8,0,Month-to-Month,Credit Card,0,0,Offer D,No Internet,0,No,0.0,0
80.55,Castella,96017,41.121108,-122.336613,58,884.12,9,2471.6,2.0,31,28,3355.72,0,Two Year,Bank Withdrawal,7,0,Offer C,DSL,2,No,0.0,0
105.85,The Sea Ranch,95497,38.696659,-123.436861,57,575.8,3,2239.65,16.0,20,28,2815.45,0,Month-to-Month,Bank Withdrawal,7,0,No Offer,Fiber Optic,2,Yes,0.0,1
81.05,San Jose,95112,37.343827,-121.883119,47,3167.36,4,5135.35,12.0,64,49,8302.71,2,Month-to-Month,Bank Withdrawal,3,0,No Offer,Fiber Optic,2,No,0.0,0
79.55,Big Bear Lake,92315,34.242058,-116.89802,34,3243.6,3,5810.9,9.0,72,45,9054.5,0,Two Year,Credit Card,8,0,Offer A,Cable,4,No,0.0,0
-10.0,Covelo,95428,39.83307,-123.178765,22,274.14,9,767.9,82.0,9,30,1042.04,3,One Year,Bank Withdrawal,4,0,Offer E,Fiber Optic,1,Yes,0.0,0
104.0,Sun Valley,91352,34.231053,-118.338307,24,2787.09,0,6363.45,48.0,61,45,9150.54,0,One Year,Bank Withdrawal,7,0,Offer B,Fiber Optic,2,No,0.0,0
85.15,Salinas,93905,36.667794,-121.601306,63,1665.04,0,4461.85,28.0,52,32,6126.89,0,Two Year,Credit Card,8,0,No Offer,DSL,3,Yes,0.0,0
46.25,Live Oak,95953,39.258746,-121.77697,29,0.0,10,3121.4,69.0,69,0,3121.4,2,Two Year,Bank Withdrawal,5,0,No Offer,DSL,4,No,0.0,0
79.15,Burbank,91504,34.213049,-118.317651,33,18.0,0,79.15,23.0,1,18,157.15,0,Month-to-Month,Credit Card,3,60,Offer E,Fiber Optic,1,Yes,0.0,0
72.95,Cypress,90630,33.818477,-118.038307,45,2320.84,4,4953.25,25.0,68,34,7274.09,1,Two Year,Bank Withdrawal,6,0,No Offer,DSL,2,Yes,0.0,0
66.6,Tahoe City,96145,39.178337,-120.162806,48,309.96,3,979.5,11.0,14,22,1289.46,0,Month-to-Month,Credit Card,4,0,No Offer,DSL,1,Yes,0.0,0
35.5,San Diego,92106,32.71346,-117.236378,28,0.0,0,249.55,48.0,7,0,249.55,0,One Year,Credit Card,3,0,Offer E,DSL,2,Yes,0.0,0
70.2,Campo,91906,32.673483,-116.472863,75,19.1,0,115.95,28.0,2,9,135.05,0,Month-to-Month,Bank Withdrawal,1,0,No Offer,Fiber Optic,0,Yes,0.0,1
70.1,Birds Landing,94512,38.140719,-121.838298,53,1.15,0,70.1,23.0,1,1,71.25,0,Month-to-Month,Bank Withdrawal,1,0,No Offer,Fiber Optic,0,No,0.0,0
