monthly_charge,city,zip_code,longitude,age,latitude,total_long_distance_charges,tenure_in_months,total_revenue,number_of_referrals,total_charges,avg_monthly_long_distance_charges,avg_monthly_gb_download,contract,number_of_dependents,payment_method,offer,engagement_score,paperless_billing,num_addon_services,gender,married,internet_type,customer_status
53.65,Los Angeles,90032,-118.177576,36,34.078821,978.42,69,4782.82,7,3804.4,14,16.0,One Year,0,Credit Card,Offer A,3,Yes,2,Male,Yes,DSL,0
43.8,Los Angeles,90040,-118.149953,78,33.994524,1746.85,49,3832.45,0,2106.05,35,3.0,Two Year,0,Credit Card,No Offer,1,No,0,Female,No,DSL,0
24.6,San Lorenzo,94580,-122.132415,58,37.676249,1023.84,24,1629.09,0,605.25,42,0.0,One Year,0,Bank Withdrawal,Offer C,1,No,0,Female,No,No Internet,0
23.95,Sunset Beach,90742,-118.073596,66,33.719221,2181.12,71,3937.32,7,1756.2,30,0.0,Two Year,0,Bank Withdrawal,Offer A,1,No,0,Male,Yes,No Internet,0
98.45,Hood,95639,-121.507935,41,38.375325,2535.77,61,8680.97,4,6145.2,41,21.0,One Year,1,Bank Withdrawal,Offer B,6,Yes,2,Male,Yes,Fiber Optic,0
20.1,Palmdale,93552,-118.029441,38,34.557711,338.4,18,745.45,0,407.05,18,0.0,One Year,0,Mailed Check,Offer D,0,No,0,Female,No,No Internet,0
53.8,Fresno,93725,-119.741322,32,36.623632,1119.96,27,2509.81,1,1389.85,41,15.0,Month-to-Month,0,Bank Withdrawal,Offer C,3,Yes,2,Male,Yes,DSL,0
111.45,Byron,94514,-121.601461,48,37.83323,2519.68,64,9786.63,3,7266.95,39,53.0,One Year,3,Bank Withdrawal,Offer B,8,Yes,3,Female,Yes,Fiber Optic,0
19.85,Moreno Valley,92551,-117.224878,47,33.88274,16.47,1,36.32,0,19.85,16,0.0,Month-to-Month,0,Credit Card,No Offer,0,No,0,Female,No,No Internet,0
84.15,Winchester,92596,-117.04254,53,33.657433,2324.5,50,6488.9,9,4164.4,46,11.0,One Year,0,Credit Card,Offer B,8,Yes,3,Female,Yes,DSL,0
70.25,Coachella,92236,-116.171678,53,33.680031,519.9,30,2718.8,7,2198.9,17,13.0,One Year,0,Bank Withdrawal,No Offer,6,No,3,Female,Yes,DSL,0
53.35,Vallecito,95251,-120.456298,33,38.055562,0.0,57,3190.05,0,3090.05,0,28.0,Two Year,0,Credit Card,No Offer,6,No,2,Male,No,DSL,0
24.8,Farmersville,93223,-119.201028,64,36.29878,167.28,17,605.47,0,475.25,9,0.0,Month-to-Month,0,Credit Card,Offer D,1,No,0,Female,No,No Internet,0
87.55,San Diego,92107,-117.243453,36,32.741852,732.87,51,5208.77,0,4475.9,14,7.0,One Year,0,Credit Card,Offer B,4,No,0,Female,No,Fiber Optic,0
29.85,Chico,95926,-121.84333,64,39.745712,0.0,2,75.6,0,75.6,0,11.0,Month-to-Month,0,Bank Withdrawal,No Offer,2,No,1,Male,No,Cable,1
85.7,Boulder Creek,95006,-122.142961,39,37.171727,28.14,2,197.94,0,169.8,14,6.0,Month-to-Month,0,Bank Withdrawal,No Offer,4,Yes,0,Female,No,Fiber Optic,1
94.15,Oregon House,95962,-121.249833,35,39.342587,2882.4,60,8694.2,1,5811.8,48,76.0,One Year,3,Bank Withdrawal,Offer B,5,No,2,Female,Yes,Fiber Optic,0
108.75,Brawley,92227,-115.191857,59,33.03933,2154.05,67,9310.25,1,7156.2,32,28.0,Two Year,0,Credit Card,No Offer,8,Yes,3,Female,Yes,Fiber Optic,1
39.1,Santa Ana,92707,-117.872941,62,33.714829,0.0,33,1309.0,0,1309.0,0,30.0,One Year,0,Bank Withdrawal,No Offer,3,Yes,1,Male,No,DSL,0
70.6,San Clemente,92672,-117.609432,55,33.429488,1605.12,38,4313.32,0,2708.2,42,22.0,One Year,0,Credit Card,Offer C,5,No,3,Male,No,DSL,0
19.75,Glendale,91201,-118.289463,57,34.17051,37.62,1,57.37,0,19.75,37,0.0,Month-to-Month,0,Bank Withdrawal,No Offer,0,No,0,Female,No,No Internet,0
74.95,Fall River Mills,96028,-121.468945,59,41.017282,30.07,1,105.02,0,74.95,30,26.0,Month-to-Month,0,Bank Withdrawal,Offer E,2,Yes,0,Male,No,Fiber Optic,1
20.4,South Pasadena,91030,-118.156957,59,34.110444,728.64,16,1050.04,3,321.4,45,0.0,Month-to-Month,2,Bank Withdrawal,Offer D,0,No,0,Female,Yes,No Internet,0
109.75,Fresno,93704,-119.801247,66,36.799648,1349.28,72,9421.78,1,7932.5,18,14.0,Two Year,0,Bank Withdrawal,Offer A,8,Yes,3,Male,Yes,Fiber Optic,0
74.55,Shoshone,92384,-116.188668,61,35.924252,1170.55,41,4194.1,4,3023.55,28,20.0,Month-to-Month,2,Credit Card,Offer B,6,Yes,3,Male,Yes,Cable,0
109.3,Garberville,95542,-123.679461,22,40.057784,861.25,65,8198.8,4,7337.55,13,47.0,Two Year,2,Bank Withdrawal,Offer B,8,No,3,Female,Yes,Fiber Optic,0
19.55,Redwood City,94065,-122.230941,58,37.527497,1247.76,72,2711.21,6,1463.45,17,0.0,Two Year,1,Bank Withdrawal,No Offer,0,No,0,Female,Yes,No Internet,0
20.05,Santa Monica,90402,-118.503508,65,34.035849,3345.98,67,4565.37,7,1263.05,49,0.0,Two Year,0,Bank Withdrawal,No Offer,0,Yes,0,Female,Yes,No Internet,0
106.65,Brookdale,95007,-122.100006,45,37.106902,1103.48,49,6401.58,0,5168.1,22,25.0,One Year,0,Bank Withdrawal,No Offer,7,Yes,2,Male,No,Fiber Optic,0
88.8,Fresno,93710,-119.761826,42,36.822715,646.95,19,2319.3,1,1672.35,34,20.0,Month-to-Month,0,Credit Card,Offer D,5,Yes,3,Male,Yes,Fiber Optic,0
85.4,Desert Hot Springs,92240,-116.516976,33,33.948558,2379.81,69,8249.21,6,5869.4,34,29.0,Month-to-Month,0,Bank Withdrawal,Offer A,4,Yes,2,Female,Yes,Fiber Optic,0
25.4,Los Angeles,90010,-118.315709,20,34.062125,473.29,47,1612.49,1,1139.2,10,0.0,Month-to-Month,0,Bank Withdrawal,No Offer,1,No,0,Male,Yes,No Internet,0
69.7,Cathedral City,92234,-116.474131,54,33.829583,1480.29,53,5166.34,9,3686.05,27,57.0,Two Year,3,Bank Withdrawal,No Offer,6,No,2,Male,Yes,DSL,0
90.15,Santa Margarita,93453,-120.256567,25,35.303926,505.98,27,2929.38,1,2423.4,18,59.0,Month-to-Month,0,Bank Withdrawal,No Offer,5,No,1,Female,Yes,Fiber Optic,0
89.2,Torrance,90501,-118.314387,60,33.833699,120.45,11,1110.75,0,990.3,10,29.0,Month-to-Month,0,Bank Withdrawal,Offer D,4,Yes,1,Female,No,Fiber Optic,0
90.45,Squaw Valley,93675,-119.202677,44,36.719141,735.84,28,3245.09,7,2509.25,26,19.0,One Year,1,Bank Withdrawal,Offer C,5,Yes,1,Female,Yes,Fiber Optic,0
64.15,Palermo,95968,-121.552071,35,39.435756,1991.21,53,5482.76,1,3491.55,37,15.0,One Year,2,Bank Withdrawal,Offer B,5,No,3,Male,Yes,DSL,0
20.25,Sun City,92585,-117.173334,45,33.739412,352.83,19,736.48,0,383.65,18,0.0,One Year,0,Credit Card,No Offer,0,No,0,Female,No,No Internet,0
19.45,Santa Clara,95050,-121.952417,33,37.351214,8.34,3,77.59,0,69.25,2,0.0,One Year,0,Credit Card,No Offer,0,Yes,0,Male,No,No Internet,0
60.0,Escondido,92027,-116.967221,55,33.141265,31.97,23,1379.12,5,1347.15,1,18.0,One Year,0,Bank Withdrawal,Offer D,3,No,1,Female,Yes,DSL,0
79.95,Amador City,95601,-120.8421,38,38.431407,113.0,10,970.2,1,857.2,11,4.0,Month-to-Month,0,Bank Withdrawal,No Offer,2,Yes,0,Male,Yes,Fiber Optic,1
89.4,Lindsay,93247,-119.085807,39,36.205465,2806.65,63,8404.3,6,5597.65,44,29.0,Two Year,0,Credit Card,No Offer,9,Yes,4,Male,Yes,DSL,0
83.9,Happy Camp,96039,-123.487478,26,41.831901,1374.84,38,4608.44,0,3233.6,36,48.0,Month-to-Month,0,Credit Card,No Offer,5,Yes,3,Female,No,Fiber Optic,1
62.15,Lockwood,93932,-121.055933,22,35.989792,0.0,61,3778.85,1,3778.85,0,59.0,Two Year,0,Credit Card,Offer B,7,Yes,3,Male,Yes,DSL,0
95.0,Capistrano Beach,92624,-117.665104,21,33.458754,497.34,27,2959.89,1,2462.55,18,26.0,Month-to-Month,0,Credit Card,Offer C,5,No,0,Female,Yes,Fiber Optic,0
19.65,Soquel,95073,-121.946461,20,37.023669,27.88,1,47.53,0,19.65,27,0.0,Month-to-Month,0,Bank Withdrawal,No Offer,0,No,0,Male,No,No Internet,0
91.1,La Puente,91746,-117.991372,54,34.038983,70.59,13,1286.29,0,1135.7,5,26.0,Month-to-Month,0,Bank Withdrawal,Offer D,4,Yes,0,Male,No,Fiber Optic,1
73.6,Big Creek,93605,-119.2997,63,37.17277,266.49,7,786.49,0,520.0,38,28.0,Month-to-Month,0,Bank Withdrawal,No Offer,2,No,0,Male,No,Fiber Optic,1
74.45,Friant,93626,-119.69056,65,37.027663,17.16,4,311.61,0,294.45,4,7.0,Two Year,0,Bank Withdrawal,No Offer,2,Yes,0,Female,No,Fiber Optic,0
85.2,Posey,93260,-118.636698,70,35.861928,357.04,8,1052.79,0,695.75,44,29.0,Two Year,0,Bank Withdrawal,Offer E,3,No,0,Female,No,Fiber Optic,0
54.2,Korbel,95550,-123.80458,24,40.7666,287.88,12,978.38,4,690.5,23,51.0,Month-to-Month,0,Bank Withdrawal,Offer D,3,No,2,Female,Yes,DSL,0
59.5,Lakehead,96051,-122.418258,54,40.883853,15.68,7,431.63,0,415.95,2,22.0,Month-to-Month,0,Credit Card,Offer E,3,Yes,1,Female,No,DSL,1
80.3,Rodeo,94572,-122.23463,56,38.027218,237.44,56,4751.09,9,4513.65,4,15.0,Two Year,0,Bank Withdrawal,Offer B,3,No,2,Female,Yes,Fiber Optic,0
23.05,Redwood City,94061,-122.235414,42,37.461251,998.92,52,2254.02,1,1255.1,19,0.0,Two Year,2,Credit Card,No Offer,1,No,0,Female,Yes,No Internet,0
48.35,Grizzly Flats,95636,-120.522149,60,38.636102,133.4,23,1200.55,1,1067.15,5,12.0,One Year,0,Credit Card,No Offer,2,Yes,0,Male,Yes,DSL,1
49.6,Perris,92570,-117.320676,63,33.787298,263.6,20,1203.4,5,939.8,13,10.0,Month-to-Month,1,Bank Withdrawal,No Offer,2,Yes,1,Male,Yes,Cable,0
56.4,Brisbane,94005,-122.40712,47,37.684694,0.0,68,3948.45,10,3948.45,0,19.0,Two Year,2,Credit Card,Offer A,7,Yes,4,Male,Yes,DSL,0
86.05,San Joaquin,93660,-120.153393,54,36.600193,54.78,3,299.63,0,244.85,18,29.0,Month-to-Month,0,Credit Card,Offer E,4,Yes,1,Male,No,Fiber Optic,0
49.65,San Diego,92111,-117.169052,49,32.805518,293.34,6,560.69,0,267.35,48,22.0,Month-to-Month,0,Bank Withdrawal,Offer E,2,Yes,1,Female,No,DSL,1
20.55,Junction City,96048,-123.06597,32,40.913192,2345.5,50,3413.15,4,1067.65,46,0.0,Two Year,0,Credit Card,No Offer,0,No,0,Male,Yes,No Internet,0
89.9,Los Angeles,90077,-118.451629,27,34.102084,2572.8,60,8023.5,0,5450.7,42,52.0,Month-to-Month,0,Bank Withdrawal,Offer B,4,Yes,1,Male,No,Fiber Optic,0
48.25,Groveland,95321,-119.667544,19,37.902968,0.0,4,212.25,0,202.25,0,30.0,Month-to-Month,0,Mailed Check,Offer E,6,No,3,Female,No,Cable,0
108.45,Imperial,92251,-115.662709,30,32.858595,268.65,45,5233.35,0,4964.7,5,73.0,Month-to-Month,0,Credit Card,No Offer,8,Yes,3,Male,No,Fiber Optic,0
75.5,San Miguel,93451,-120.608661,51,35.886767,111.5,25,2012.55,4,1901.05,4,58.0,Month-to-Month,3,Bank Withdrawal,No Offer,2,Yes,1,Male,Yes,Fiber Optic,0
100.55,Avila Beach,93424,-120.728305,77,35.186644,1594.87,43,5898.87,10,4304.0,37,8.0,One Year,0,Bank Withdrawal,Offer B,6,Yes,2,Male,Yes,Fiber Optic,0
19.0,Anaheim,92805,-117.906099,48,33.830209,233.76,12,467.31,1,233.55,19,0.0,Month-to-Month,0,Credit Card,Offer D,0,No,0,Female,Yes,No Internet,1
76.85,Los Angeles,90015,-118.266293,51,34.039224,381.69,9,1045.24,0,663.55,42,8.0,Month-to-Month,0,Bank Withdrawal,Offer E,2,Yes,0,Female,No,Fiber Optic,0
65.1,Hemet,92544,-116.871544,45,33.644585,1437.16,62,5283.91,0,3846.75,23,18.0,Two Year,0,Credit Card,No Offer,5,Yes,2,Female,No,DSL,0
20.4,Palos Verdes Peninsula,90274,-118.404955,61,33.788208,75.6,40,820.9,2,745.3,1,0.0,Month-to-Month,1,Bank Withdrawal,Offer B,0,Yes,0,Male,Yes,No Internet,0
26.35,Posey,93260,-118.636698,21,35.861928,229.68,6,413.73,0,184.05,38,0.0,Month-to-Month,3,Credit Card,Offer E,1,No,0,Male,No,No Internet,0
20.05,Wendel,96136,-120.081187,55,40.345949,77.4,20,477.4,4,400.0,3,0.0,Two Year,1,Credit Card,No Offer,0,No,0,Male,Yes,No Internet,0
78.75,Los Angeles,90024,-118.435479,68,34.066303,632.32,16,1850.57,0,1218.25,39,17.0,Month-to-Month,0,Bank Withdrawal,Offer D,3,Yes,0,Male,No,Fiber Optic,0
19.8,Santa Ynez,93460,-120.032564,20,34.630356,226.96,8,387.01,1,160.05,28,0.0,One Year,0,Bank Withdrawal,Offer E,0,No,0,Female,Yes,No Internet,0
49.6,Lafayette,94549,-122.127161,26,37.907777,42.56,2,157.26,0,114.7,21,26.0,Month-to-Month,0,Credit Card,Offer E,2,Yes,1,Female,No,Cable,1
91.15,Fremont,94536,-121.964583,53,37.572273,212.4,72,6850.3,4,6637.9,2,26.0,Two Year,0,Bank Withdrawal,No Offer,9,Yes,4,Female,Yes,Cable,0
105.95,Los Angeles,90007,-118.28515,37,34.027337,1044.0,50,6385.8,0,5341.8,20,13.0,Month-to-Month,0,Credit Card,No Offer,7,No,2,Male,Yes,Fiber Optic,1
75.3,Farmington,95230,-120.863055,25,37.956963,68.46,21,1639.16,0,1570.7,3,51.0,Month-to-Month,0,Credit Card,No Offer,2,No,0,Male,No,Fiber Optic,0
115.0,San Jose,95117,-121.961786,37,37.311088,2972.16,64,10368.31,1,7396.15,46,29.0,One Year,0,Bank Withdrawal,No Offer,9,Yes,4,Female,Yes,Fiber Optic,0
65.25,Somes Bar,95568,-123.471895,32,41.444606,128.04,3,337.94,0,209.9,42,27.0,Month-to-Month,0,Credit Card,No Offer,4,Yes,1,Male,No,Cable,0
19.15,Redding,96002,-122.318749,49,40.527834,1699.98,58,2706.78,0,1035.5,29,0.0,Two Year,0,Bank Withdrawal,No Offer,0,Yes,0,Male,No,No Internet,0
90.45,Greenbrae,94904,-122.563571,74,37.946617,158.34,14,1424.44,0,1266.1,11,24.0,Month-to-Month,0,Credit Card,No Offer,3,No,0,Male,No,Fiber Optic,1
19.55,Los Angeles,90017,-118.264495,49,34.052842,192.06,18,581.31,0,389.25,10,0.0,Month-to-Month,0,Credit Card,Offer D,0,Yes,0,Female,No,No Internet,0
26.1,Windsor,95492,-122.810044,45,38.527297,2901.1,67,4660.65,0,1759.55,43,0.0,Two Year,0,Credit Card,No Offer,1,Yes,0,Female,No,No Internet,0
20.1,San Diego,92127,-117.118456,63,33.017518,40.83,1,60.93,0,20.1,40,0.0,Month-to-Month,0,Credit Card,Offer E,0,Yes,0,Male,No,No Internet,1
25.45,Ontario,91761,-117.591528,48,34.035602,703.33,61,2241.93,2,1538.6,11,0.0,Two Year,0,Bank Withdrawal,Offer B,1,No,0,Male,Yes,No Internet,0
19.65,Seal Beach,90740,-118.071128,31,33.75462,1142.96,52,2168.01,0,1025.05,21,0.0,Two Year,0,Credit Card,No Offer,0,No,0,Male,No,No Internet,0
20.4,Janesville,96114,-120.512622,46,40.294034,204.54,14,496.94,0,292.4,14,0.0,Two Year,0,Credit Card,No Offer,0,No,0,Female,Yes,No Internet,0
50.2,Santa Margarita,93453,-120.256567,41,35.303926,629.52,43,2798.92,1,2169.4,14,19.0,Month-to-Month,2,Mailed Check,Offer B,2,No,1,Female,Yes,DSL,0
24.8,Lemon Grove,91945,-117.033713,42,32.733564,2097.16,52,3326.26,1,1229.1,40,0.0,Two Year,3,Credit Card,Offer B,1,No,0,Male,Yes,No Internet,0
54.4,North Hollywood,91601,-118.372498,22,34.1692,88.62,2,202.72,0,114.1,44,73.0,Month-to-Month,0,Credit Card,No Offer,4,Yes,1,Male,No,DSL,1
80.25,Glenhaven,95443,-122.743181,66,39.045246,35.0,4,368.7,0,303.7,8,4.0,One Year,0,Bank Withdrawal,No Offer,3,Yes,1,Female,No,Fiber Optic,0
99.95,Cutler,93615,-119.285484,74,36.497895,1220.16,31,4406.81,0,3186.65,39,4.0,Month-to-Month,0,Bank Withdrawal,No Offer,5,Yes,1,Female,No,Fiber Optic,1
19.45,Jenner,95450,-123.187019,20,38.505995,40.2,5,126.25,10,86.05,8,0.0,Month-to-Month,1,Credit Card,No Offer,0,No,0,Male,Yes,No Internet,0
110.5,Montara,94037,-122.509594,70,37.540582,965.52,27,3823.12,0,2857.6,35,4.0,One Year,0,Bank Withdrawal,Offer C,7,Yes,3,Female,No,Fiber Optic,0
54.3,Planada,95365,-120.306399,64,37.329725,160.6,4,435.9,0,195.3,40,19.0,Month-to-Month,0,Bank Withdrawal,Offer E,3,No,0,Male,No,DSL,1
34.65,Los Angeles,90067,-118.413959,78,34.057496,0.0,23,768.45,0,768.45,0,2.0,Month-to-Month,0,Bank Withdrawal,No Offer,3,Yes,0,Male,No,Cable,0
75.75,San Diego,92130,-117.202542,46,32.957195,285.75,9,941.65,1,655.9,31,25.0,Month-to-Month,0,Bank Withdrawal,Offer E,2,Yes,1,Female,Yes,Fiber Optic,1
96.8,La Grange,95329,-120.411517,40,37.666587,2605.9,55,7889.85,0,5283.95,47,29.0,Month-to-Month,0,Bank Withdrawal,Offer B,5,Yes,0,Male,No,Fiber Optic,1
56.3,San Diego,92106,-117.236378,51,32.71346,0.0,49,2780.6,1,2780.6,0,21.0,One Year,0,Credit Card,Offer B,6,Yes,2,Female,Yes,DSL,0
80.45,Alamo,94507,-121.994813,30,37.855717,1887.18,71,7549.43,1,5662.25,26,27.0,Two Year,0,Bank Withdrawal,Offer A,7,Yes,2,Female,Yes,Cable,0
66.4,Winnetka,91306,-118.577563,49,34.209532,947.54,59,4905.74,3,3958.2,16,4.0,One Year,0,Credit Card,No Offer,5,No,3,Male,Yes,DSL,0
96.55,Madera,93638,-119.930027,68,37.004068,134.64,68,6716.54,5,6581.9,1,19.0,One Year,0,Credit Card,No Offer,5,Yes,2,Female,Yes,Fiber Optic,1
81.3,Stonyford,95979,-122.415841,33,39.288127,1063.04,64,6170.0,6,5129.3,16,4.0,Two Year,0,Mailed Check,No Offer,8,Yes,4,Female,Yes,Cable,0
66.85,Lee Vining,93541,-119.184087,56,37.890145,1054.8,72,5813.6,6,4758.8,14,20.0,Two Year,0,Bank Withdrawal,Offer A,5,No,3,Female,Yes,DSL,0
85.35,Huntington Park,90255,-118.217141,66,33.97803,158.88,16,1534.03,1,1375.15,9,27.0,Month-to-Month,0,Credit Card,Offer D,3,Yes,0,Female,Yes,Fiber Optic,1
20.0,Phillipsville,95559,-123.745487,23,40.184094,1621.84,44,2482.69,2,860.85,36,0.0,One Year,3,Bank Withdrawal,No Offer,0,No,0,Male,Yes,No Internet,0
19.7,San Diego,92122,-117.209774,24,32.85723,385.5,30,934.96,1,599.25,12,0.0,Two Year,1,Credit Card,No Offer,0,No,0,Female,Yes,No Internet,0
43.65,Forest Knolls,94933,-122.689442,77,38.010092,0.0,12,526.95,0,526.95,0,10.0,Month-to-Month,0,Bank Withdrawal,No Offer,4,Yes,2,Male,No,DSL,1
53.85,San Jose,95118,-121.889838,60,37.255479,210.6,39,2364.64,0,2200.7,5,16.0,Two Year,0,Credit Card,No Offer,3,Yes,1,Male,No,DSL,0
19.65,La Habra,90631,-117.9513,48,33.940619,259.2,15,591.85,1,332.65,17,0.0,One Year,3,Credit Card,Offer D,0,No,0,Male,Yes,No Internet,0
88.85,Rancho Cucamonga,91737,-117.642503,69,34.245289,51.44,4,423.89,0,372.45,12,4.0,Month-to-Month,0,Bank Withdrawal,No Offer,4,Yes,1,Female,No,Fiber Optic,1
44.05,Sheep Ranch,95250,-120.417301,68,38.244806,0.0,70,3011.65,0,3011.65,0,13.0,One Year,0,Credit Card,Offer A,4,Yes,2,Male,No,Cable,0
79.9,Mission Hills,91345,-118.459744,62,34.266389,23.2,1,103.1,0,79.9,23,21.0,Month-to-Month,3,Bank Withdrawal,No Offer,3,No,0,Male,No,Fiber Optic,1
110.6,Yorkville,95494,-123.239647,55,38.888351,311.04,72,8273.24,7,7962.2,4,18.0,Two Year,0,Credit Card,No Offer,8,Yes,3,Male,Yes,Fiber Optic,0
20.7,Volcano,95689,-120.603668,64,38.481902,496.8,72,1979.1,9,1482.3,6,0.0,Two Year,3,Credit Card,No Offer,0,Yes,0,Female,Yes,No Internet,0
21.1,Montrose,91020,-118.230625,61,34.2112,831.95,35,1558.72,0,741.0,23,0.0,One Year,0,Credit Card,Offer C,0,No,0,Female,No,No Internet,0
107.15,Foothill Ranch,92610,-117.67768,80,33.698728,2183.48,68,9613.28,0,7379.8,32,12.0,One Year,1,Credit Card,Offer A,6,Yes,2,Male,Yes,Fiber Optic,0
84.8,Los Angeles,90049,-118.491244,40,34.091829,2390.57,71,8542.97,9,6152.4,33,75.0,Two Year,3,Bank Withdrawal,No Offer,4,Yes,2,Male,Yes,Fiber Optic,0
24.7,Twain Harte,95383,-120.230625,43,38.107441,2123.1,70,3809.0,8,1685.9,30,0.0,Two Year,2,Bank Withdrawal,No Offer,1,No,0,Female,Yes,No Internet,0
55.35,North Hollywood,91605,-118.400022,62,34.207295,0.0,29,1636.95,6,1636.95,0,57.0,One Year,3,Credit Card,No Offer,7,Yes,4,Male,Yes,DSL,0
19.35,West Sacramento,95691,-121.593287,58,38.627951,1401.18,66,2641.98,0,1240.8,21,0.0,Two Year,0,Bank Withdrawal,No Offer,0,No,0,Male,No,No Internet,0
89.95,Ladera Ranch,92694,-117.640055,70,33.569186,969.2,20,2617.65,0,1648.45,48,23.0,Two Year,0,Bank Withdrawal,Offer D,3,No,0,Male,No,Fiber Optic,0
69.05,Rio Dell,95562,-124.163234,52,40.485849,1532.85,55,5375.45,3,3842.6,27,17.0,Two Year,2,Credit Card,Offer B,1,Yes,0,Female,Yes,Fiber Optic,0
70.05,Redlands,92374,-117.166158,24,34.064073,134.19,9,698.59,2,564.4,14,82.0,Month-to-Month,0,Mailed Check,No Offer,5,Yes,1,Male,Yes,Cable,0
78.55,Somis,93066,-119.014627,69,34.297628,87.92,2,237.47,0,149.55,43,14.0,Month-to-Month,0,Bank Withdrawal,Offer E,3,Yes,1,Female,No,Fiber Optic,1
97.85,National City,91950,-117.095235,57,32.67102,184.32,72,7025.62,7,6841.3,2,24.0,Two Year,0,Bank Withdrawal,Offer A,6,Yes,1,Female,Yes,Fiber Optic,0
20.45,Mc Farland,93250,-119.186717,60,35.666886,1553.3,49,2577.95,0,1024.65,31,0.0,Two Year,3,Credit Card,No Offer,0,No,0,Female,No,No Internet,0
89.55,Santa Clara,95054,-121.965114,21,37.393554,669.84,24,2856.99,0,2187.15,27,59.0,Month-to-Month,0,Bank Withdrawal,No Offer,5,Yes,2,Male,No,Fiber Optic,0
-5.0,Santa Ynez,93460,-120.032564,66,34.630356,567.42,42,3911.52,0,3344.1,13,19.0,One Year,0,Bank Withdrawal,No Offer,3,Yes,1,Male,No,Fiber Optic,0
106.1,Old Station,96071,-121.428965,27,40.656287,458.43,21,2708.38,1,2249.95,21,59.0,Month-to-Month,0,Bank Withdrawal,Offer D,7,Yes,2,Male,Yes,Fiber Optic,1
80.85,Pinon Hills,92372,-117.629729,72,34.459322,366.08,52,4445.63,1,4079.55,7,22.0,One Year,1,Bank Withdrawal,No Offer,7,Yes,2,Male,Yes,DSL,0
50.3,Hinkley,92347,-117.239306,40,34.983808,689.76,18,1603.06,0,913.3,38,20.0,Month-to-Month,0,Bank Withdrawal,No Offer,2,Yes,0,Female,No,DSL,0
84.6,Dutch Flat,95714,-120.83679,62,39.197215,468.0,12,1427.9,9,959.9,39,7.0,Month-to-Month,0,Bank Withdrawal,Offer D,4,Yes,3,Male,Yes,Fiber Optic,0
108.4,Glendale,91207,-118.262922,56,34.182378,2007.36,72,9804.61,4,7767.25,27,30.0,Two Year,2,Credit Card,No Offer,8,Yes,3,Male,Yes,Fiber Optic,0
75.5,Fellows,93224,-119.57013,30,35.215731,142.53,3,363.13,0,220.6,47,85.0,Month-to-Month,0,Bank Withdrawal,Offer E,2,Yes,0,Female,No,Fiber Optic,1
110.75,Inglewood,90301,-118.358634,75,33.956445,1198.08,52,7023.82,0,5832.0,23,25.0,Two Year,0,Bank Withdrawal,No Offer,8,Yes,3,Male,No,Fiber Optic,0
30.3,Mather,95655,-121.266725,57,38.549822,0.0,46,1380.1,0,1380.1,0,26.0,Month-to-Month,0,Bank Withdrawal,No Offer,2,No,1,Male,No,DSL,1
98.4,Prather,93651,-119.505661,45,37.007238,2212.22,53,7361.72,1,5149.5,41,24.0,Month-to-Month,0,Credit Card,No Offer,6,Yes,1,Female,Yes,Fiber Optic,1
55.0,Emeryville,94608,-122.287648,73,37.83726,257.85,15,1014.95,0,757.1,17,19.0,Month-to-Month,0,Credit Card,Offer D,3,No,1,Female,No,DSL,1
99.35,Pearblossom,93553,-117.894868,58,34.445239,3360.0,70,10304.5,10,6944.5,48,13.0,Two Year,0,Credit Card,Offer A,6,Yes,3,Male,Yes,Fiber Optic,0
20.1,Carson,90746,-118.252272,59,33.859171,459.72,18,830.22,4,370.5,25,0.0,Two Year,0,Credit Card,No Offer,0,No,0,Female,Yes,No Internet,0
25.05,Grover Beach,93433,-120.61843,42,35.120833,0.0,7,189.95,0,189.95,0,4.0,Month-to-Month,0,Bank Withdrawal,No Offer,1,No,0,Female,No,DSL,0
24.75,Santa Ana,92703,-117.906125,40,33.748635,1558.98,54,2901.13,1,1342.15,28,0.0,One Year,2,Bank Withdrawal,No Offer,1,Yes,0,Female,Yes,No Internet,0
24.25,Sequoia National Park,93262,-118.594938,64,36.527243,0.0,1,24.25,0,24.25,0,7.0,Month-to-Month,0,Bank Withdrawal,Offer E,1,Yes,0,Male,No,DSL,1
86.45,Palomar Mountain,92060,-116.823091,48,33.309852,663.68,68,6576.63,5,5762.95,9,15.0,One Year,0,Credit Card,Offer A,4,No,2,Female,Yes,Fiber Optic,0
101.35,Los Angeles,90044,-118.292061,49,33.952714,3319.2,72,10642.35,6,7323.15,46,23.0,One Year,0,Bank Withdrawal,Offer A,7,Yes,2,Female,Yes,Fiber Optic,0
55.25,Shoshone,92384,-116.188668,24,35.924252,2563.55,55,5683.45,5,3119.9,46,30.0,Two Year,1,Credit Card,No Offer,3,Yes,2,Male,Yes,DSL,0
24.95,Pacoima,91331,-118.421314,61,34.255442,0.0,9,190.25,0,190.25,0,7.0,Month-to-Month,0,Bank Withdrawal,No Offer,1,Yes,0,Male,No,DSL,0
20.05,Kings Beach,96143,-120.029273,33,39.246654,103.2,4,186.5,0,83.3,25,0.0,Month-to-Month,0,Credit Card,No Offer,0,No,0,Female,No,No Internet,0
46.4,Canby,96015,-120.913975,25,41.486953,0.0,18,812.4,2,812.4,0,59.0,One Year,2,Credit Card,No Offer,4,No,2,Male,Yes,DSL,0
